title;url;comment;satisfaction;received;category;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28
Holiday Schedule | Town of Cary;https://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/holiday-schedule;;5;11/20/2017 14:53;;;;;;;;;;;;;;;;;;;;;;;
Robert V. Godbold Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/robert-v-godbold-park;;4;10/31/2017 8:44;;;;;;;;;;;;;;;;;;;;;;;
Animal Control | Town of Cary;http://www.townofcary.org/services-publications/police/services-bureau/animal-control;;1;11/13/2017 15:15;;;;;;;;;;;;;;;;;;;;;;;
FAQ | Town of Cary;https://www.townofcary.org/services-publications/residential-permits-inspections/faq;;1;11/14/2017 11:08;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/business-development/developing-in-cary/construction-permits-and-inspection/performance-guarantee-requirements;;5;12/5/2017 16:15;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/fire/hot-topics/outdoor-fires;;4;12/4/2017 11:50;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/mayor-council/meeting-calendar;;1;12/5/2017 9:43;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste/loose-leaf-collection;Wish it was easier to find the loose leaf collection schedule and if rescheduled due to snow. Thanks.;5;1/4/2018 8:59;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/facilities/middle-creek-community-center;Looking for fitness schedule;1;1/9/2018 19:14;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;This web dialog is blocking me from viewing it!!;1;1/15/2018 18:56;Look/Feel;;;;;;;;;;;;;;;;;;;;;;
Utility Customer Service | Town of Cary;https://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;1;1/5/2018 14:47;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://townofcary.org/home;;5;1/2/2018 18:09;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/town-departments-offices/town-manager-s-office/public-information/live;;5;1/3/2018 23:02;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste/loose-leaf-collection;;5;1/3/2018 10:30;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/water-sewer/water/aquastar/how-to-use-aquastar;;1;1/4/2018 15:49;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;5;1/10/2018 8:26;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/dreamfest;;5;1/13/2018 17:14;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/Calendar/Event/2613/199?curm=1&cury=2018;Finding where to buy tickets is not simple at all on this site;2;1/1/2018 13:43;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/transit/gocary;hi;5;12/28/2017 11:26;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Standard Detail Drawings 2009 - 2016 | Town of Cary;https://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;;5;12/14/2017 16:12;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/north-cary-park;hi;3;12/8/2017 15:18;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/heart-of-the-holidays-celebration/gifting-tree-project;;5;12/18/2017 17:02;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/Calendar/Event/2759/1636?curm=12&cury=2017;;5;12/11/2017 7:25;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;4;12/18/2017 8:55;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/Home/Components/News/News/13610/715;;1;12/9/2017 11:31;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/;;5;12/11/2017 11:03;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/;;1;1/2/2018 14:03;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center/materials-not-accepted;"""I have disposable";"camping propane tanks.  How do I dispose of them? """;1;2/24/2018 15:16;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Contact the Town | Town of Cary;http://townofcary.org/connect-engage/get-help;ok;5;2/26/2018 11:33;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/programs-classes;i dont understand why no one local offers t ball for 3.5 year olds it is very disappointing;1;2/23/2018 14:32;Other Comments;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/water-sewer-stormwater/water/water-pressure/pressure-zone-modification;;1;2/27/2018 10:00;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/events/holiday-events/easter-events;;5;2/19/2018 21:40;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/mayor-council/meeting-calendar;;5;2/22/2018 10:57;;;;;;;;;;;;;;;;;;;;;;;
Fares and Ticket Information | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary/door-to-door-service/fares-and-ticket-information;A citizen just called in and said she could not find out how much the 31-Day Pass was (FN public window said it was $54). She also wanted to know if the 31 -Day Pass was just for GoCary buses or could you also use it on the GoTriangle buses.  Just an FYI to see if you can add this information to this page. Thank You! Stephanie Cessna x4380;2;9/5/2017 12:32;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Recycling | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/recycling;"""the Recycling Blue week- starts Nov 2016?? error in map?  it should start Nov 2017";"with the new curbside routes.  correct? Slater- [REDACTED]""";3;8/31/2017 13:24;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Traffic Alert – Holly Springs Road | News Releases | Town of Cary;http://www.townofcary.org/Home/Components/News/News/13478/715;Thank you for making it much easier as well as faster to get access to traffic info without having to stumble through the toc website to get it!! :);5;9/6/2017 10:12;Look/Feel;;;;;;;;;;;;;;;;;;;;;;
Greenways | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/greenways;website is not responding;3;9/9/2017 10:02;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Program Registration | Town of Cary;http://www.townofcary.org/mayor-council/town-policies/program-registration;No;1;8/28/2017 23:31;Other Comments;;;;;;;;;;;;;;;;;;;;;;
GoCary | Town of Cary;http://www.townofcary.org/services-publications/transit/gocary;Hello;5;9/12/2017 13:36;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;where is info about rain out?;1;9/6/2017 16:39;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Citizen's Convenience Center | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/citizen-s-convenience-center;;5;9/4/2017 16:58;;;;;;;;;;;;;;;;;;;;;;;
Herbert C. Young Community Center | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/herbert-c-young-community-center;;5;9/14/2017 6:40;;;;;;;;;;;;;;;;;;;;;;;
Animal Control | Town of Cary;http://www.townofcary.org/services-publications/police/services-bureau/animal-control;;4;9/17/2017 13:42;;;;;;;;;;;;;;;;;;;;;;;
Planning Department | Town of Cary;http://www.townofcary.org/connect-engage/town-departments-offices/planning-department;It would be good if we could leave a message for a call back or a way to leave a message such as a reporting of a very dangerous intersection where a friend was almost killed by a car last night. His dog was killed on a very short leash. I'll call in the morning. Dave Kurt [REDACTED];2;9/19/2017 18:09;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;;
Street Maintenance | Town of Cary;http://www.townofcary.org/projects-initiatives/street-maintenance;"""When I click on the double arrows to open the legend on the map";"a pane opens that states  """"Legend  No Legend.""""""";3;9/18/2017 13:41;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Town Manager's Office | Town of Cary;http://www.townofcary.org/connect-engage/town-departments-offices/town-manager-s-office;your email links are not working;1;10/1/2017 2:01;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Cary Senior Center | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/senior-center;Senior newsletter location - cannot find;3;9/30/2017 13:07;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Volunteer | Town of Cary;http://www.townofcary.org/connect-engage/volunteer;Where and when is the volunteer picnic?;1;10/1/2017 16:41;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
"""Water";"Sewer & Stormwater | Town of Cary""";http://www.townofcary.org/services-publications/water-sewer;;3;9/19/2017 10:47;;;;;;;;;;;;;;;;;;;;;;
Cary Tennis Park Academy | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/cary-tennis-park/juniors/cary-tennis-park-academy;;2;9/27/2017 13:34;;;;;;;;;;;;;;;;;;;;;;;
Staff Contacts | Town of Cary;http://www.townofcary.org/services-publications/police/staff-contacts;;1;9/27/2017 19:17;;;;;;;;;;;;;;;;;;;;;;;
Teens | Town of Cary;http://www.townofcary.org/recreation-enjoyment/special-populations/teens;;5;9/19/2017 20:13;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/;;2;9/26/2017 10:41;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;"""Hello";"Whats the Garbage collection schedule for Cary (27518) post snow? """;3;1/19/2018 11:44;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/;"""Audible siren";"deeper and slower than fire or ambulance. No info on home page""";1;1/19/2018 12:57;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;Hi! Will the trash and recycling be collecting today with all the snow?;3;1/18/2018 8:34;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;add ratings;5;2/15/2018 17:34;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
"""Garbage";"Recycling & Yard Waste | Town of Cary""";https://www.townofcary.org/services-publications/garbage-recycling-yard-waste;;4;1/17/2018 6:05;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/environmental-education/compost-giveaway-workshops;;5;2/14/2018 12:35;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/business-development/developing-in-cary/fire-code-enforcement;;5;1/31/2018 15:52;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/connect-engage/transparency/public-hearings/public-hearing-cases;;1;2/10/2018 22:23;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/traffic;;1;1/17/2018 13:48;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/services-publications/police;;1;1/31/2018 17:41;;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;;2;2/28/2018 14:55;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary Town Hall Renovation | RFP Posts List | Town of Cary;http://www.townofcary.org/Home/Components/RFP/RFP/90/30?backlist=%2fprojects-initiatives%2fproject-updates;"""Confused - the due date on the document states August 18";2017;the due date on the RFP Posts List states May;2017;regarding the Town of Cary Town Hall Renovation;"http://www.townofcary.org/Home/Components/RFP/RFP/90/30?backlist=%2fprojects-initiatives%2fproject-updates """;3;7/30/2017 21:02;;;;;;;;;;;;;;;;;;
Standard Detail Drawings 2009 - 2016 | Town of Cary;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;A list of approved backflow manufacturers and models would be helpful.;3;7/25/2017 22:17;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org;"""Hello.  I need to start new service for watrr";"sewer and trash""";5;8/1/2017 13:06;Service Requests/Inquiries;;;;;;;;;;;;;;;;;;;;;
Housing | Town of Cary;http://www.townofcary.org/services-publications/housing;hi;3;8/9/2017 17:59;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Starlight Concert Series: Jamrock | TOC Calendar | Town of Cary;http://www.townofcary.org/Home/Components/Calendar/Event/1916/1185?selcat=42&curm=8&cury=2017;;5;8/3/2017 19:24;;;;;;;;;;;;;;;;;;;;;;;
Neighborhood Park On McCrimmon Parkway | Town of Cary;http://www.townofcary.org/projects-initiatives/project-updates/parks-projects/neighborhood-park-p-006;;3;7/31/2017 19:06;;;;;;;;;;;;;;;;;;;;;;;
Cary's Downtown Chowdown | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/special-events/chatham-street-chowdown;;5;7/30/2017 9:51;;;;;;;;;;;;;;;;;;;;;;;
Utility Customer Service | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/utility-customer-service;;5;7/20/2017 18:26;;;;;;;;;;;;;;;;;;;;;;;
Park After Dark | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/special-events/park-after-dark;;5;8/4/2017 18:38;;;;;;;;;;;;;;;;;;;;;;;
Bids & Proposals | Town of Cary;http://www.townofcary.org/business-development/bids-proposals;;3;7/25/2017 9:33;;;;;;;;;;;;;;;;;;;;;;;
Getting to the Festival | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival/getting-to-the-festival;Where is the bus shuttle at at the mall?  I've been around this huge mall twice and saw no sign of a shuttle drop spot.  No groups gathering.  One more time around then driving 30 minutes back home.  Very poor planning??;1;8/27/2017 12:54;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/home;"""I would like to be able to search for classes offered at Town of Cary facilities. For example search of summer camp at Bond Park";"Robotics at Bond Park etc.""";4;9/11/2017 18:41;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Stevens Nature Center At Hemlock Bluffs Nature Preserve | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/stevens-nature-center-at-hemlock-bluffs-nature-preserve;Are you open on labor day;3;9/4/2017 10:49;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
ADA Grievance Procedure | Town of Cary;http://www.townofcary.org/services-publications/people-with-disabilities/ada-grievance-procedure;Please review and correct if needed the text of Number 6. Thanks. George Grammar nazi;3;8/25/2017 12:04;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Fall Youth Baseball and Softball (Age 8-17) | Town of Cary;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/fall-youth-baseball-and-softball-ages-8-17;Practice schedule link takes user to the wrong place.;1;9/11/2017 6:49;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org;Y;4;9/12/2017 13:40;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Lazy Daze Arts and Crafts Festival | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival;;2;8/24/2017 21:14;;;;;;;;;;;;;;;;;;;;;;;
R. S. Dunham Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/r-s-dunham-park;;1;8/12/2017 19:03;;;;;;;;;;;;;;;;;;;;;;;
Yard Waste | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste;;5;8/23/2017 17:36;;;;;;;;;;;;;;;;;;;;;;;
FAQ | Town of Cary;http://www.townofcary.org/services-publications/police/faq;;1;9/12/2017 21:34;;;;;;;;;;;;;;;;;;;;;;;
Route Rebalancing | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection/curbside-collection/route-rebalancing;"""Wow";"only had to make 3 clicks to discover what a blue week is.  How inefficient!  Next time include something more substantive in the notice...like what the freakin blue weeks are!""";2;10/3/2017 16:28;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
WMSP Tournaments and Events | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/wakemed-soccer-park/tournaments-and-events;"""I want to buy tickets to the UNC";"NC State soccer game and can't find tickets anywhere?""";1;9/19/2017 19:58;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
"""Garbage";"Recycling & Yard Waste | Town of Cary""";http://www.townofcary.org/services-publications/garbage-recycling-yard-waste;is to day a reclyling day;1;10/4/2017 21:00;Service Requests;;;;;;;;;;;;;;;;;;;;;
Animal Control | Town of Cary;http://www.townofcary.org/services-publications/police/services-bureau/animal-control;What are the regulations for pet goats in Cary?;1;10/9/2017 15:54;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
